ERROR:root: id=4016抓取user时发生错误2016-05-10 22:35:01 Error = list index out of range---http://i.autohome.com.cn/264181
ERROR:root: id=15065抓取user时发生错误2016-05-10 23:25:49 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/695746
ERROR:root: id=27053抓取user时发生错误2016-05-10 23:25:49 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1135155
ERROR:root: id=33034抓取user时发生错误2016-05-10 23:25:49 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1358529
ERROR:root: id=7157抓取user时发生错误2016-05-10 23:25:49 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/385349
ERROR:root: id=37032抓取user时发生错误2016-05-10 23:25:49 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1539483
ERROR:root: id=36034抓取user时发生错误2016-05-10 23:25:50 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1491109
ERROR:root: id=2162抓取user时发生错误2016-05-10 23:25:50 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/189905
ERROR:root: id=32035抓取user时发生错误2016-05-10 23:25:51 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1316412
ERROR:root: id=18055抓取user时发生错误2016-05-10 23:25:51 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/818166
ERROR:root: id=12148抓取user时发生错误2016-05-10 23:25:52 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/578268
ERROR:root: id=14129抓取user时发生错误2016-05-10 23:25:52 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/656689
ERROR:root: id=6148抓取user时发生错误2016-05-10 23:25:52 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/346340
ERROR:root: id=9147抓取user时发生错误2016-05-10 23:25:52 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/473136
ERROR:root: id=4157抓取user时发生错误2016-05-10 23:25:53 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/269198
ERROR:root: id=22053抓取user时发生错误2016-05-10 23:25:54 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/970744
ERROR:root: id=17058抓取user时发生错误2016-05-10 23:25:54 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/781063
ERROR:root: id=23058抓取user时发生错误2016-05-10 23:25:54 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1008570
ERROR:root: id=34033抓取user时发生错误2016-05-10 23:25:54 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1403539
ERROR:root: id=11157抓取user时发生错误2016-05-10 23:25:54 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/541679
ERROR:root: id=13152抓取user时发生错误2016-05-10 23:25:55 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/616729
ERROR:root: id=18056抓取user时发生错误2016-05-10 23:25:55 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/818191
ERROR:root: id=24058抓取user时发生错误2016-05-10 23:25:55 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1040668
ERROR:root: id=26052抓取user时发生错误2016-05-10 23:25:56 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1102675
ERROR:root: id=21059抓取user时发生错误2016-05-10 23:25:57 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/932959
ERROR:root: id=39035抓取user时发生错误2016-05-10 23:25:57 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1633640
ERROR:root: id=38036抓取user时发生错误2016-05-10 23:25:57 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1585352
ERROR:root: id=3152抓取user时发生错误2016-05-10 23:25:58 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/229152
ERROR:root: id=28057抓取user时发生错误2016-05-10 23:25:58 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1170625
ERROR:root: id=2163抓取user时发生错误2016-05-10 23:25:59 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/189908
ERROR:root: id=20058抓取user时发生错误2016-05-10 23:25:59 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/892975
ERROR:root: id=30031抓取user时发生错误2016-05-10 23:25:59 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1239123
ERROR:root: id=25056抓取user时发生错误2016-05-10 23:26:00 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1071034
ERROR:root: id=27054抓取user时发生错误2016-05-10 23:26:00 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1135175
ERROR:root: id=16059抓取user时发生错误2016-05-10 23:26:01 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/738425
ERROR:root: id=9148抓取user时发生错误2016-05-10 23:26:01 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/473168
ERROR:root: id=14130抓取user时发生错误2016-05-10 23:26:01 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/656745
ERROR:root: id=32036抓取user时发生错误2016-05-10 23:26:01 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1316447
